site,location,land cover type,day of year,time of day,value,reference,remarks
US-SRG, Santa Rita Grassland, Grassland, 27, 12:00, 0.24, `Moore (1976) <https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/qj.49710243416>`_, summer value of grassland
US-VAr, Vaira Ranch-Iona,grasslands,10,12:00,0.45,`Ryu et al. (2008) <https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007JD009263>`_,
US-MMS, Morgan Monroe State Forest, Deciduous Broadleaf Forest, , , 0.13, `Liu (2017) <https://www.sciencedirect.com/science/article/pii/S0034425717304339>`_, value has seasonal variability-approximated from summer values
Crop field,UK,Cropland,25,13:00,0.2,`Page (2012) <https://doi.org/10.1016/B978-0-12-385934-1.00017-9>`_, a short growing crop
CA-Qsu,Quebec-Eastern Boreal,Black Spruce / Jack Pine Cutover, 15th December, 12:00,0.907, `Betts and Ball (1997) <https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/96JD03876>`_, winter time
CA-Qfo,Quebec,Eastern Boreal - Mature Black Spruce,196,12:00,0.081,`Betts and Ball (1997) <https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/96JD03876>`_,none
40-50N,40-50N,Deciduous Broadleaf Forest,74,12:00,0.142,`Gao et al. (2005) <https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2004JD005190>`_,
Saskatchewan,Western Boreal,Mature Black Spruce,annual mean,daily mean,0.145,`Rosbjerg (1997) <https://books.google.co.uk/books?id=gPDr7HLdSt4C>`_,
US-MOz,Missouri USA,Deciduous Broadleaf Forest,,Midday,0.15+/-0.02,`Moore et al. (1996) <https://bit.ly/2nJrIHb>`_,Valid for summer days (a case study of a Deciduous forest)
US-Oho,Oak Openings USA,deciduous broadleaf forest,July,,0.159,`Strugnell et al. (2001) <https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2000GL011580>`_,
CA-Obs,Saskatchewan,ENF,,,0.260, `Bright et al. (2014) <https://doi.org/10.1139/cjfr-2014-0132>`_,January average
